"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
203;"Boschherd 4-Platten m. Backofen";"Stück";"GEB4"
2031;"Liefern und Verlegen eines halogenfreien Zuleitungskabels zur Pos. 4, NYY 4x50/25, bis ";"Stück";"halogenfreies Zuleitungskabel "
2032;"Liefern und Anschließen eines Trenntrafos, 63 KVA.";"Stück";"Anschl. Trenntrafo"
2033;"Lieferung und Montage einer Trennerverteilung gemäß Stadtwerke Potsdam.";"Stück";"Mont. Trennerverteilung "
2034;"Reinigung des vorhandenen Trenntrafos (jährlich). ";"Stück";"Reinig. Trennerverteilung "
2035;"Hewlett Packard HP Proliant DL380 G5 2.0 GHz";"Stück";2035
2037;"Keyboard Classic Line Grey 19"";IT Artikel""";2037;44
2038;"USB-PSUS4 Druckerserver für USB-Drucker";"Stück";2038
2039;"APC SmartUPS RM 2U 1000 VA";"Stück";2039
204;"Frostwächter 300 - 500W";"Stück";"GH1"
2040;"Netgear Gigabit Switch, 16-Port";"Stück";2040
2041;"Reinigung des vorhandenen Trafos (sollte jährlich erfolgen, sonst besteht Brandgefahr). ";"Stück";"Reinigung Trafo"
2042;"Für das Umschalten der Packtischlichtbänder auf die Ladenbeleuchtung, berechnen wir  ";"Stück";"Packtischlichtbänder "
2043;"Halogenstrahler, 1000W";"Stück";"Halogenstrahler, 1000W"
2044;"Zählerschrank komplett, 100A gem. Vattenfall TAB, inkl. SLS";"Stück";"Zählerschrank kpl. "
2045;"Gerüstkosten ";"Stück";"Gerüstkosten "
205;"Heizstrahler 1200W";"Stück";"GH2"
2051;"Austausch der Hauptkabel im HA-Raum von 4x35mm² in";"Stück";2051
2052;"Lieferung und Montage einer Isoverteilung mit 6";"Stück";2052
2053;"Lieferung und Montage eines Zählerschrankes";"Stück";2053
2054;"Badinstallation über FI";"Stück";2054
2055;"Installation der Wechselstromzuleitung";"Stück";2055
2056;"Installation Steckdose";"Stück";2056
2057;"Installation einer Wechselschaltung";"Stück";2057
2058;"Umverlegen der UV im EG und im 1.OG";"Stück";2058
2059;"WC-Installation";"Stück";2059
2060;"Lieferung und Montage von Bewegungsmeldern ";"Stück";2060
2061;"Installation von geschalteten Steckdosen";"Stück";2061
2062;"Installation einer geschalteten Außensteckdose";"Stück";2062
2063;"Umlegen der Zuleitung zu den Mastleuchten";"Stück";2063
2064;"Installation der Küche";"Stück";2064
2065;"Lieferung und Montage einer Wechselschaltung für das Anlieferungslagerlicht in u. P.-Ausführung, ";"Stück";"Wechselschaltung "
2073;"Installation eines Hotelzimmers inklusive:";"Stück";2073
2074;"Installation Zuleitungen Beamer + Leihnwand";"Stück";2074
2075;"Installation Steckdose";"Stück";2075
2076;"Zuleitung für die Lichtleiste";"Stück";2076
2077;"Lieferung und Montage einer Zuleitung bis zu 16qmm";"Stück";2077
2078;"Installation des Tresens";"Stück";2078
2079;"WC im DG:";"Stück";2079
208;"80-Liter-Speicher, drucklos";"Stück";"GS1"
2080;"Installation einer Ausschaltung mit einem";"Stück";2080
2081;"Installation Bad wie in den Zimmern";"Stück";2081
2082;"Etagen WC im 1.OG:";"Stück";2082
2086;"Demontage der Unterverteilung und Ent-";"Stück";2086
2087;"Lieferung und Montage von 10 Drehstromkreise.";"Stück";2087
209;"80-Liter-Druckspeicher";;"GS2"
2099;"Lieferung und Montage einer FR-Verteilung";"Stück";2099
210;"Druckarmatur bis 6 bar";"Stück";"GS3"
2100;"Siemens Gigaset CX475";"Stück";2100
211;"Druckarmatur bis 10 bar";"Stück";"GS4"
2118;"Installation Wechselstromzuleitung für den Tresen";"Stück";2118
2119;"Lieferung und Montage einer Ausschaltung";"Stück";2119
2120;"Umsetzen von 2 Unterputz Kombisteckdosen";"Stück";2120
2121;"Installation Wechselstromzuleitung über FI";"Stück";2121
2122;"Doppelsteckdose Unterputz setzten";"Stück";2122
2123;"19 Netzwerkschrank""";"Stück";2123
2137;"Durchlauferhitzer:";"Stück";2137
2138;"Heizungsfühler";"Stück";2138
2139;"Zuleitungen und Steckdosen im Kleller";"Stück";2139
214;"Herdanschlußdose  a. P./u. P.";"Stück";"H1"
2140;"Ausklemmen der Zuleitung, 4x70mm² für die UV, neben dem Parkhauseingang aus der ";"Stück";"Ausklemmen Zuleitung"
2141;"Ausklemmen der Zuleitung swv. Pos. 3, jedoch mit 4x35mm². ";"Stück";"Auskl. der Zuleitung"
2142;"Demontage der alten Backshopzählerleitung, und Liefern und Verlegen einer Neuen, NYY 5x16mm².";"Stück";"Dem. Backshopzählerleitung"
2143;"Lieferung und Montag eines Sicompact-Strahlers (150W) an die ";"Stück";"Sicompact-Strahler "
215;"Herdschalter 7-Takt";"Stück";"H10"
2154;"Lieferung und Montage einer Sprechanlage";"Stück";2154
2155;"TV Adapter Koaxial F-Kupplung auf BNC Stecker";"Stück";2155
2157;"Verlegen der Brandmeldeleitungen gemäß Plan";"Stück";2157
2158;"Lieferung Koax-Leitung";"Stück";2158
2159;"Installation von Steckdosen im Tresenbereich";"Stück";2159
216;"Geräteanschlußdose a. P./u. P.";"Stück";"H11"
2160;"3-fach Steckdose im Lounge Bereich";;2160
2164;"AEG Maxos Reflektorend-Deckel";"Stück";"Li7"
2165;"Rolltaster a. P. ";"Stück";"Rolltaster a. P. "
217;"Backofenheizung oben/unten";"Stück";"H12"
2170;"GN Netcom Stereo Headset Optima Duo";"Stück";2170
2172;"Entsorgung Elektroschrott";"Stück";2172
2173;"Montage von bis zu 70 AEG-Leuchten, einschl. Befestigungsmaterial. ";"Stück";"Montage v. AEG-Leuchten "
2174;"Demontage der gesamten alten Deckenbeleuchtung im Anlieferungslager zum Abtransport. ";"Stück";"Dem. d. ges. alten Bel. "
2175;"Verteilungsabdeckung ";"Stück";"Verteilungsabdeckung"
218;"Herdschalterknöpfe";"Stück";"H13"
2191;"Anbau-Raster-Leuchte 1x58W mit EVG";"Stück";2191
2194;"Austausch des Ridi Tandem EVG""""";"Stück";2194
220;"Geräteanschluß-Leitung  flexibel";"Meter";"H3"
221;"Herdplatte 14,5 cm, 1000W";"Stück";"H4"
2215;"Montage der Heizungssteuerung bestehend aus:";"Stück";2215
2216;"Anschluss der Elemente für die ";"Stück";2216
2217;"Trafo 12-24 Volt";"Stück";2217
