"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
2752;"Profil-Blech für Kabeltrassen-Durchführung";"Stück";2752
2753;"Brett für Monatge Datendosen + Steckdose auf Kabeltrasse";"Stück";2753
2754;"1-Kanal-Uhr";"Stück";2754
2755;"Prüfung der elektrischen Anlage und der ortsfesten Betriebsmittel (Wiederholungsprüfung)";"Stück";2755
2757;"Siemens Gigaset HC450 Türsprechstelle - Gigaset HC450 Türsprech-Schnittstelle/";"Stück";2757
2758;"Siemens Gigaset C595 - Gigaset C595 Pianoblack mit Anrufbeantworter";"Stück";2758
2759;"Prüfung der ortsveränderlichen Betriebsmittel";"Stück";2759
276;"Spiralverlängerung";"Stück";"LE14"
2760;"Lieferung und Montage eines SPS-ISO-Verteilers";"Stück";2760
2761;"Lieferung von Zuleitungen 5x25qmm";"Meter";2761
2762;"Lieferung und Montage von Zuleitungen 5x35qmm";"Meter";2762
2763;"Austausch der Unterverteilung gegen Hager AP Verteilerschrank";"Stück";2763
2764;"Lieferung und Anschluss Notausgangshinweisleuchte";"Stück";2764
2765;"Lieferung und Einbau Akkueinbauleuchte";"Stück";2765
2767;"Flexrohr schwarz doppelseitig";"Meter";2767
2768;"Leitungsschutzschalter, 1-polig 50 A Charakteristik C";"Stück";2768
2769;"Luminestra Leuchte T5";"Stück";2769
277;"Fassung E27 bis 100W";"Stück";"LE20"
2770;"Iguzzini Einbau Leuchte weiß gebraucht";"Stück";2770
2771;"Rohrschelle";"Stück";2771
2772;"Klebekanal klein";"Stück";2772
2773;"Wechselstromzähler 1TE beglaubigt";"Stück";"Z8"
2778;"Lieferung und Montage Zuleitungen für den Backautomaten";"Stück";2778
2779;"Lieferung und Montage UV Backvorbereitung neben UV Pfand inkl Zul.2/3 Steuerung u. Zuleitung UV";"Stück";2779
278;"Fassung E14, Keramikstein 60W";"Stück";"LE21"
2780;"Allgemeine Installation im Backvorbereitungdraum ";"Stück";2780
2781;"Versetzen Beleuchtung, Bewegungsmelder und ggf. Lüftungszuleitungen im Pfandraum";"Stück";2781
2782;"Lieferung und Monatge Zuleitungen für Beleuchtung im VK-Raum";"Stück";2782
2783;"Pauschale für die Bereitstellung Büro-Infrastruktur für ein Quartal";"Stück";2783
279;"Strahler High-Tech-HQI-TS m. Zub.";"Stück";"LE22"
2794;"Montage von 4 x Begleitheizung";"Stück";2794
2795;"TYCOTHER selbstregelndes Heizband";"Stück";2795
2799;"Anbauleuchte 2x 58 Watt EVG";"Stück";2799
280;"Halogenstrahler m. Bewegungsmelder";"Stück";"LE26"
2800;"NA Leuchte mit Akku und Leuchstoffröhre 8Watt";"Stück";2800
2801;"Strahler für O/G oder Kosmetik Beleuchtung Oktalite.";"Stück";2801
281;"Notlicht-Akkuleuchten, 3H 220/12";"Stück";"LE30"
2814;"Berker Blindverschluss";"Stück";2814
2815;"Stahlseil Abhängung für Lichtband.";"Stück";2815
2816;"Hager Sockelleistenkanal 70mm reinweiß";"Meter";2816
2817;"Prüfung ortsveränderliches Betriebsmittel";"Stück";2817
2819;"Montage RZB Leuchte inkl. Zuleitung";"Stück";2819
282;"Notausgangs-Hinweisleuchte inkl. Energiesparlampe";"Stück";"LE31"
2820;"Montage Strahler an vorbereiteten Ausleger";"Stück";2820
2821;"Elektroinstallation gemäß Baubeschreibung Backvorbereitung Version 1.4. pro Filiale";"Stück";2821
2822;"Leitungsschutzschalter 3-polig 32 A Charakteristik B";"Stück";2822
2823;"Zulage Backvorbereitung";"Stück";2823
2824;"Drehstromzähler bis 63A beglaubigt";"Stück";"Z14"
2825;"Drehstrom-Ausschalter AP bis 25A (Not-Aus)";"Stück";2825
2826;"Drehstrom-Ausschalter AP bis 32A (Not-Aus)";"Stück";2826
283;"Notausgangs-Hinweisfolien uni";"Stück";"LE32"
284;"Luminestra 8W-Tresoleuchten";"Stück";"LE33"
285;"Trageschienen 2-längig, kpl.";"Stück";"LE42"
286;"Trageschienen 3-längig, kpl. ";"Stück";"LE43"
287;"Zündtrafo für HQI-70W-Strahler";"Stück";"LE55"
288;"Unterteile für Leuchtstoffleuchten";"Stück";"LE7"
289;"Spiegelrasterleuchten, komplett, 1x58W, ";"Stück";"LE8"
290;"Einbaukontroll-Lampe f. Schalter";"Stück";"LESCH"
2900;"Poti-Bock-Klemme";"Stück";"YK6"
2901;"Trennsteg für Kabelkanal";"Meter";2901
2902;"Leitungsschutzschalter 3-polig 32 A Charakteristik C";"Stück";2902
2903;"NYY 5x35 qmm";"Meter";"NY535"
2904;"NYY 5x10 qmm";"Meter";"NY51"
291;"Vorschaltgerät 2x36W, EVG";"Stück";"LEV236"
2918;"L-Lampe Lumilux 21/28W T5";"Stück";2918
2921;"Anschluss-Set Oktalite";"Stück";2921
2922;"Lieferung und Montage Einbauspot gemäß neuem Beleuchtungskonzept (pro Spot)";"Stück";2922
2927;"Einbau eines 63A 4pol FI-Schutzschalters";"Stück";2927
2929;"Lieferung eines Spots inkl. Leuchtmittel und Verdrahtungssatz";"Stück";2929
2930;"Lieferung und Montage Einbauspot ohne Erstellung des Loches in der Deckenplatte";"Stück";2930
2931;"Hager 63A FI-Schutzschalter 30mA 4-pol";"Stück";2931
2932;"FI-Schutzschalter 30mA 2pol mit LSS B16 Sicherungsautomat";"Stück";2932
2933;"BR-Kanal 70x110";"Meter";2933
2934;"Montage Strahler ";"Stück";2934
2946;"AK3 FR-AP Verteilung";"Stück";2946
2952;"Leuchmittel O/G Spot";"Stück";2952
2954;"Leitungsschutzschalter 3-polig 50 A Charakteristik C";"Stück";2954
2955;"Herstellen eines Zählerplatzes gemäß Vattenfall Vorgaben";"Stück";2955
2956;"Installation einer Wechselschaltung mit einem";"Stück";2956
2957;"Lieferung und Montage einer Tel-Dose UP";"Stück";2957
2960;"Installation einer Netzwerkdoppeldose";"Stück";2960
2961;"Verlegen Telefon-Anschluss in den Netzwerkschrank";"Stück";2961
2962;"Herstellen eines zweiten Türöffners";"Stück";2962
2963;"Thealit Sockelleistenkanal 70x20 braun";"Meter";2963
2964;"Tehalit Sockelleistenkanal 115x20";"Stück";2964
2965;"Tehalit Geräteträger für SL Höhe 115 mm";"Stück";2965
2967;"4x Video Kabel + 4x Adapter + 4x PCIe Card Serial";"Stück";2967
2969;"Fassung GU4 für Halogenspots";"Stück";2969
297;"Glimmlampe E10";"Stück";"LG10"
2970;"Philips 50W 36 Grad Halogen Leuchtmittel";"Stück";2970
2971;"Schraube und Muttern 100 Stück";"Stück";2971
2974;"Kabelbrücke 16qmm (lang)";"Stück";2974
2975;"Leitungsschutzschalter 3-polig 63 A Charakteristik C";"Stück";2975
2976;"Umrüsten VK-Lichtbänder nach neuem Beleuchtungskonzept (pro Leuchte).";"Stück";2976
2977;"Umrüsten VK-Kassenlichtbänder nach neuem Beleuchtungskonzept (pro Kasse).";"Stück";2977
2978;"Umrüsten der O/G-,Brot-,Kosmetik-Beleuchtung nach neuem Konzept. (1200qm Markt)";"Stück";2978
298;"Glimmlampe E14";"Stück";"LG14"
2982;"Lieferung und Montage einer Notausgangshinweisleuchte";"Stück";2982
2983;"Umrüsten der Treppenhaus-Taster im Aufgang Haupthaus";"Stück";2983
2984;"Lieferung und Montage einer Zuleitung 5x10qmm ca. 15m";"Stück";2984
2985;"Lieferung und Montage einer Zuleitung 5x2,5qmm für den Herd im 4.OG ca. 20m";"Stück";2985
2986;"Lieferung und Montage einer Zuleitung 5x2,5qmm für die Waschm. im Keller, inkl. 16A CEE Steckdose";"Stück";2986
2987;"Umrüstung der Zähleranlage auf 100A einschl. selektivem Hauptschalter";"Stück";2987
2988;"Lieferung und Montage einer Zuleitung 3x35/16qmm bis zu 20m";"Stück";2988
2989;"Lieferung und Montage eines HIT 70W-Strahlers (graues Druckgussgehäuse),";"Stück";2989
299;"Halostar bis 50W/12V, ohne Reflek.";"Stück";"LH1"
2990;"Anschluss der Strahler an die vorhandene Zuleitung,";"Stück";2990
2991;"Gebühr für die Rückgabe des überschüssigen Materials der Backvorbereitung gemäß Anlage";"Stück";2991
2992;"Einbau von 2x 3x100A Neozedsicherungselementen";"Stück";2992
2993;"Austausch des Kabels zwischen Vattenfall Zähler und Trafo bis zu 8m";"Stück";2993
2994;"Austausch des Kabels zwischen Trafo und Unterverteilung bis zu 6m";"Stück";2994
2995;"Austausch des Kabels zwischen Unterverteilung und Ladenverteilung bis zu 16m";"Stück";2995
2996;"Tausch der NH-Sicherungen im Hausanschluß";"Stück";2996
2997;"Enddeckel Regiolux für Kassenreflektor";"Stück";2997
2998;"Enddeckel Regiolux Lichtband";"Stück";2998
2999;"Osram L8W Röhre";"Stück";2999
30;"Fahranteil 2. Monteur innerh.";"x";30
300;"Stundenlohn IT-Systemspezialist (Kategorie C)";"Stunden";300
3000;"EVG- Leuchte 1x54W T5 nach neuem Belechtungskonzept";"Stück";"LI14"
3001;"Anschluss-Set Spot von der Firma Oktalite";"Stück";3001
3002;"Versandkosten";"Stück";3002
3003;"Lieferung und Montage einer FR-Leuchte 1x58W";"Stück";3003
3004;"Lieferung und Montage einer Zuleitung für die Plakatvitrine";"Stück";3004
3005;"Abtransport alter Leuchten in die Kreuzbergstr.";"Stück";3005
3006;"Lieferung und Montage einer Zuleitung zu den neuen Lidl Logos";"Stück";3006
3007;"Lieferung und Montage einer FR-Leuchte in der EKW-Box inkl. Zuleitung";"Stück";3007
3010;"Klima-Steuerung Sonderfiliale";"Stück";3010
3011;"Umrüsten der O/G-,Brot-,Kosmetik-Beleuchtung nach neuem Konzept. (800qm Markt)";"Stück";3011
3012;"Funkschalter Eltako";"Stück";3012
3013;"Funkrelais Eltako";"Stück";3013
3014;"Deckenbaldachin";"Stück";3014
3015;"Blindabdeckung Berker Modul 2";"Stück";3015
3016;"Kilometerpauschale B-MR";"Stück";3016
3017;"Umrüsten der O/G-,Brot-,Kosmetik-Beleuchtung nach neuem Konzept. (1000qm Markt)";"Stück";3017
3019;"Zählersetzung durch Fremdfirma";"Stück";3019
3020;"Lieferung und Montage eines Siedle Gongs, inkl. Zuleitung";"Stück";3020
3028;"AEG Durchlauferhitzer 18KW hydraulisch";"Stück";3028
3029;"Verteilung AP FR 3TE";"Stück";3029
303;"Halostar 1000W";"Stück";"LH1000"
3030;"Kontroll-Leuchte für Hutschiene";"Stück";3030
3031;"Lieferung und Montage von 4 Auslegern an Fassade";"Stück";3031
3032;"Siemens Gigaset Repeater";"Stück";3032
3033;"Aufputzrahmen";"Stück";3033
3034;"Berker Arsys 2-fach Rahmen";"Stück";3034
3035;"Berker Arsys 1-fach Rahmen";"Stück";3035
3036;"Berker Arsys Zwischenrahmen (Adapterring)";"Stück";3036
304;"Halogenstabeinsätze 150W";"Stück";"LH150"
3040;"Lieferung und Montage Lidl Klingelanlage gemäß aktueller BBS";"Stück";3040
3042;"Prüfung ortsveränderliches Gerät nach DIN VDE 0701-0702:";"Stück";3042
3045;"Elektronisches Vorschaltgerät 2x18-24W";"Stück";3045
3046;"Demontage und Freischalten Kabelkanäle, Leuchten, Herd";"Stück";3046
3047;"Wiederherstellung ürsprüngliche Raumaufteilung gemäß Plan";"Stück";3047
305;"Halostar 1500W";"Stück";"LH1500"
3050;"Trennung der UV Küche/Tresen vom allgemeinen Vattenfall-Zähler";"Stück";3050
3051;"Lieferung und Montage einer Zuleitung 16A von der UV";"Stück";3051
3052;"19 Steckdosenleiste mit Überspannungsschutz""";"Stück";3052
3055;"Kassenbeleuchtung KaraLicht 2flammig T5";"Stück";3055
3056;"Demontage Rauchmeldeanlage inkl. aller Melder";"Stück";3056
3057;"Entsorgung der alten Beleuchtung!";"Stück";3057
3058;"Lieferung und Montage B&J 3fach UP Kombination";"Stück";3058
3059;"Lampe FR AP 9W EVG";"Stück";3059
306;"Halostar m. Reflekt., 12V bis 50W";"Stück";"LH2"
3060;"Herstellen eines Stromanschlusses für den Wochenmarkt bis 2KW";"Stück";3060
3063;"Umbau und Prüfung der vorhanden UV-Markt";"Stück";3063
3064;"Ausbau der Baumgärtner-Klima Steuerung";"Stück";3064
307;"Halostar 2000W";"Stück";"LH2000"
3075;"Bauprojektleitung";"Stück";3075
3076;"UP Zählerschrank gemäß Vattenfall und Verteilung 2-reihig 24TE";"Stück";3076
3077;"UP-Installation Küche";"Stück";3077
3078;"UP-Installation Esszimmer";"Stück";3078
3079;"UP-Installation Wohnzimmer";"Stück";3079
308;"Halostar bis 300W";"Stück";"LH300"
3080;"UP-Installation Schlafzimmer";"Stück";3080
3081;"UP-Installation Bad und Flur";"Stück";3081
3082;"Auslagen für Anreise und Verpflegung von zwei Mitarbeitern";"Stück";3082
3083;"Material Anlieferung Süd-Frankreich";"Stück";3083
3084;"Herstellen Hauptstromverorgung";"Stück";3084
3085;"Hauptverteilung mit Derhstrom-Zwischenzähler";"Stück";3085
3086;"Installation Räume Disco, Bar, Bäder, Billiard-Raum gemäß Skizze";"Stück";3086
3087;"Installation Außenbeleuchtung";"Stück";3087
3089;"Pauschale für Bereitstellung Strom für Zeltveranstalltung";"Stück";3089
309;"Halostar bis 500W";"Stück";"LH500"
3090;"Pauschale für Lieferung und Reinigung gebrauchter Beleuchtung";"Stück";3090
3091;"Lieferung und Montage freistrahlende FR-Leuchte 1x58W EVG";"Stück";3091
3093;"elektronischer Trafo für NV Halogenleuchten 250 Watt";"Stück";3093
3094;"elektronischer Trafo für NV Halogenleuchten 105 Watt";"Stück";3094
3095;"Berker Dimmer für elektronische Trafos mit Softrastung";"Stück";3095
3096;"Leuchtmittel NV-Halogen 20Watt";"Stück";3096
3097;"Unterbrechung Lichtband um eine Einheit wegen Klima, Lüftung etc.";"Stück";3097
3098;"Austausch der UP Verteilung 3-reihig";"Stück";3098
3099;"UP-Installation kleines Zimmer";"Stück";3099
3100;"Ausbau Schalter und Lieferung und Montage neuer Schalter";"Stück";3100
3102;"L-Lampe Lumilux 36W T8 Sonderlänge 1m";"Stück";3102
311;"Halostar Niedervolt Cool, 50W/12V";"Stück";"LH6"
3112;"Liefern und Herstellen des elektrischen Anschlusses Durchlauferhitzer";"Stück";3112
3113;"Liefern und Herstellen des elektrischen Anschlusses Speicher";"Stück";3113
3115;"Umrüsten Parkplatzbeleuchtung auf weißes Licht gemäß aktueller BBS";"Stück";3115
3119;"Liefern und Aufstellen 6m Lichtmast konisch";"Stück";3119
312;"100 A- Zählerschrank";"Stück";312
3120;"Lieferung Zuleitung NYY 5x4qmm";"Stück";3120
3121;"Lieferung und Montage Doppelausleger für Lichtmast";"Stück";3121
3122;"Lieferung und Montage Leuchtenaufsatz CPO-TW60W";"Stück";3122
3125;"NV Einbaustrahler weiß max. 50Watt";"Stück";3125
3126;"elektronischer Trafo für NV-Einbaustrahler max 250VA";"Stück";3126
3127;"elektronischer Trafo für NV-Einbaustrahler max 150 VA";"Stück";3127
3128;"Hauselektronik Drehdimmer mit Softrastung bis 600W";"Stück";3128
3130;"Aufpreis pro Steckdose";"Stück";3130
3131;"Aufpreis pro Schalter";"Stück";3131
3132;"Aufpreis pro TV-Dose";"Stunden";3132
3133;"NYM 5x25 qmm";"Meter";3133
3134;"NAV PLUS PIA 100W E40";"Stück";3134
3138;"Lieferung und Montage eines Lichtmastes zylindrisch-abgesetzt 6m Lichtpunkthöhe";"Stück";3138
3139;"Lieferung und Montage einer gebrauchten Aufsatzleuchte NAV 150W";"Stück";3139
314;"ISO Hauptverteilung 3xNH00";"Stück";314
315;"ISO Hauptverteilung 2xNH00";"Stück";315
316;"Steckdosenbrett Licht gebraucht";"Stück";316
317;"Kreuzstaberder";"Stück";317
318;"Baustromverteilermiete, Leihgebühr f. 1 Monat. ";"Stück";318
319;"Läutewerk 230V";"Stück";"KL230"
320;"Anbauleuchte L1x58W, STNF kap VVG";"Stück";"LI1"
321;"Lamellenraster 2x58W, blendfrei, inkl. ";"Stück";"LI10"
322;"Leuchtenunterteil FS-Blech";"Stück";"LI11"
323;"Leuchtstoffleuchte 1x58W m. EVG";"Stück";"LI12"
324;"EVG- Leuchte 1x58W, mit Trageschiene und ";"Stück";"LI13"
325;"Nobile Tronic-Trafo bis 110VA";"Stück";"LI20"
326;"Trageschiene pro Meter";"Meter";"LI22"
328;"Verdrahtungssätze Drehstrom kp.";"Stück";"LI5"
329;"Trageschienenkettenaufhänger";"Stück";"LI6"
331;"Trageschienen-Blindstreifen";"Meter";"LI8"
332;"Reflektorwanne m. Enddeckel";"Stück";"LI9"
333;"Kerzenlampe 15 - 60W/E14";"Stück";"LK1560"
334;"L-Lampe Lumilux bis 30W/ F. 11 - 41";"Stück";"LL30"
335;"HQI-TS, 70W WDL-Einsatz";"Stück";"LQ11"
336;"SDWT-Lampe Color";"Stück";"LQ12"
338;"HQI-TS, 150W/WDL";"Stück";"LQ2"
339;"HQL 50W, super de luxe";"Stück";"LQ6"
340;"HQL, 80W, super de luxe";"Stück";"LQ7"
341;"HQL, 125W, super de luxe";"Stück";"LQ8"
342;"HQL 250W, super de luxe";"Stück";"LQ9"
345;"L-Lampe Ring, Lumilux 40W/21";"Stück";"LR40"
346;"Schnellstarter Dose";"Stück";"LS2"
347;"Starter 4 - 20W ST 151";"Stück";"LS3"
348;"Starter ST 191 Tiko";"Stück";"LS4"
349;"Starter ST 291 Tiko spez.";"Stück";"LS5"
351;"Vorschaltgerät bis 20W";"Stück";"LV1"
352;"Vorschaltgerät bis 40W";"Stück";"LV2"
353;"Vorschaltgerät bis 65W";"Stück";"LV3"
354;"Leuchtstoff-Leuchtenfassung. ";"Stück";"LV5"
355;"Verteilung a. P., 2-reihig, leer";"Stück";"V2"
356;"Leuchtstoff-Leuchte 1x58W, standard";"Stück";"LX1"
357;"Klebeziffer";"Stück";"LX10"
358;"Leuchtstoff-Leuchte 36W, standard";"Stück";"LX11"
359;"Leuchtstoff-Leuchte 18W, standard";"Stück";"LX12"
360;"L-Leuchte 1x58W m. Reflektor";"Stück";"LX2"
361;"Abstandshalter f. Trageschienen";"Stück";"LX20"
362;"Leuchtstoff-Leuchte FR 1x36W m. Wanne";"Stück";"LX36"
363;"Lichtfluter Halogen bis 500W";"Stück";"LX4"
364;"Ausleger für Strahler";"Stück";"LX5"
365;"RZB-Leuchte qua., 75W opal/m.";"Stück";"LX6"
366;"Ersatzglas NKL";"Stück";"LX7"
367;"Schildkröte Iso oval ";"Stück";"LX8"
368;"Ersatzwanne 1x58W, FR";"Stück";"LX9"
369;"Gießharzmuffe klein";"Stück";"M1"
370;"Gießharzmuffe mittel ";"Stück";"M2"
371;"Gießharzmuffe groß";"Stück";"M3"
372;"NYM 4x16 qmm";"Meter";"N416"
373;"Schukosteckdose uP, FR";"Stück";"SFU10"
374;"Wechselschalter uP";"Stück";"SU2"
375;"Wandleuchte 2x40W/ E14";"Stück";"WL40"
376;"Leuchtstoff-Leuchte kompl. 1x36W";"Stück";"LLK36"
377;"Leuchtstoff-Leuchte  kompl. 2x18W";"Stück";"LLK18"
378;"Verteilung aP FR 4-reihig, leer";"Stück";"V18"
379;"Kabelkanal 40x60 mm";"Meter";"RK3"
380;"NYM 4x25 qmm";"Meter";"N425"
381;"NYM 4x35 qmm";"Meter";"N435"
384;"Fritz ISDN Card";"Stück";384
385;"NYM 5x10 qmm";"Meter";"N510"
386;"NYM 5x4 qmm ";"Meter";"N54"
387;"NYM 5x6 qmm";"Meter";"N56"
388;"NYM 7x2,5 qmm";"Meter";"N72"
389;"Kabelabdeckhauben";"Stück";"NA"
390;"NYA 16 qmm";"Meter";"NA16"
391;"Fritz ISDN Card PCMCIA";"Stück";391
392;"Netgear DSL/Modem/Router/Firewall";"Stück";392
393;"Patchkabel 5m geschirmt";"Stück";393
394;"Patchkabel 3m geschirmt";"Stück";394
396;"Fernwartung IT-Systemspezialist (Kategorie C)";"Minuten";396
397;"Kabelkanal 15x15mm ";"Meter";"RK1"
398;"Schuko Steckdose aP 2-fach";"Stück";"SA11"
399;"PVC-Panzerrohr M25";"Meter";"R25"
40;"Fahranteil 2. Monteur außerha.";"x";40
400;"Polypschellen M25";"Stück";"B25"
401;"Hohlwandschalterdose";"Stück";"D10"
402;"Schukosteckdose uP";"Stück";"SU10"
403;"PVC-Flexrohr M20";"Meter";"RF20"
406;"Acer PC Aspire T140 AMD Athlon 64 3000+/512MB/ 160";"Stück";406
407;"Fujitsu Siemens SCALEO Pa - Tower - 1 x Athlon 64 ";"Stück";407
410;"NYA 25 qmm";"Meter";"NA25"
411;"NYA 50 qmm";"Meter";"NA50"
412;"Aderendhülsen 1,5 qmm";"Meter";"NAH1"
413;"Ferrithülsen für 2-Ader";"Stück";"NFH2"
414;"Ferrithülsen für 4-Ader";"Stück";"NFH4"
415;"NYIF 3x1,5 qmm";"Meter";"NI3"
416;"NYIF 3x2,5 qmm";"Meter";"NI32"
417;"NYIF 5x1,5 qmm";"Meter";"NI5"
418;"NYIF 5x2,5 qmm";"Meter";"NI52"
419;"NYIF 5x4 qmm";"Meter";"NI54"
420;"NSHöu (H07RN-F) 3x1,5 qmm";"Meter";"NS3"
421;"NSHöu (H07RN-F) 3x2,5 qmm";"Meter";"NS32"
422;"NSHöu (H07RN-F) 4x6 qmm";"Meter";"NS46"
423;"D-Link IP Kamera DCS-900";"Stück";423
424;"SMC 10/100 Mbits Netzwerkkarte PCI";"Stück";424
425;"NSHöu (H07RN-F) 5x1,5 qmm";"Meter";"NS5"
426;"D-Link Network IP Camera DCS-900";"Stück";426
428;"D-Link DI 604 DSL Router/Firewall/Switch";"Stück";428
429;"Telekom Teledat DSL Modem 430 LAN";"Stück";429
430;"Patchkabel 10m geschirmt";"Stück";430
433;"NYY 3x1,5 qmm";"Meter";"NY3"
434;"Kabelkanal 15x30mm";"Meter";"RK2"
435;"Druckerkabel parallel 3m";"Stück";435
436;"NYM 5x2,5 qmm";"Meter";"N52"
437;"NYA 10 qmm";"Meter";"NA10"
438;"Aderendhülse 10 qmm";"Stück";"NAH10"
439;"Verteilung 3-reihig AP leer";"Stück";"V3"
440;"Sammelschiene 1-polig";"Stück";"YK4"
441;"Blindstreifen für Verteilung";"Stück";"V21"
442;"Kabelbrücke 10 qmm kurz";"Stück";"NKK10"
443;"Elektronisches Vorschaltgerät bis 2x58W";"Stück";"LEV258"
444;"Bewegungsmelder";"Stück";444
445;"Cat5 e Verlegekabel";"Meter";445
446;"Cat5e Anschlußdose 2fach AP";"Stück";446
447;"Netgear 5 Port Switch 10/100 Mbits";"Stück";447
448;"Draytek Vigor DSL Router/Modem/Firewall/VPN-Server";"Stück";448
449;"Schalterdose u. P. ohne Stutzen";"Stück";"D1"
450;"Abzweigdose u. P. mit Deckel";"Stück";"D3"
451;"Prüfung nach §11 der Betriebssicherheitsverordnung und nach DIN VDE 0105-100 Pkt. 5.3.101.1 bis Pkt.";"Stück";"BSV1"
452;"Prüfung nach §11 der Betriebssicherheitsverordnung, swv. (Mieter) ";"Stück";"BSV2"
453;"E-Check-Prüfung";"Stück";"EC3"
454;"NYA 6 qmm";"Meter";"NA6"
455;"Aderendhülsen 4 qmm";"Stück";"NAH4"
456;"Stg. Lüsterklemmen 10 qmm";"Stück";"DL10"
457;"Ankerschiene 10cm, 2 Bohrungen";"Stück";"BS3"
458;"Bügelschelle 16-38 KSV m. Gegw.";"Stück";"BB1"
463;"NYY 3x120/70 qmm";"Meter";"NY3120"
464;"NYY 3x150/70 qmm";"Meter";"NY3150"
465;"NYY 3x185/95 qmm";"Meter";"NY3185"
466;"NYY 3x2,5 qmm";"Meter";"NY32"
467;"NYY 3x25/16 qmm";"Meter";"NY325"
468;"NYY 3x50/25 qmm";"Meter";"NY350"
469;"NYY 3x70/35 qmm";"Meter";"NY370"
470;"NYY 3x95/50 qmm";"Meter";"NY395"
471;"NYY 4x10 qmm";"Meter";"NY410"
472;"NYY 4x16 qmm";"Meter";"NY416"
473;"NYY 5x1,5 qmm";"Meter";"NY5"
474;"NYY 5x2,5 qmm";"Meter";"NY52"
475;"Fujitsu Siemens Scenic X102";;475
477;"NYY 5x4 qmm";"Meter";"NY54"
478;"NYY 5x6 qmm";"Meter";"NY56"
479;"NYLHY (HOvv-F) 2x0,75";"Meter";"NYL2"
480;"NYLHY (HO3nn-F) 3x0,75";"Meter";"NYL3"
481;"NYLHY (HO3vv-F) 3x1,5 qmm";"Meter";"NYL31"
482;"NYLHY (HO3vv-F) 3x2,5 qmm";"Meter";"NYL32"
483;"NYLHY (HO3vv-F) 5x1,5 qmm";"Meter";"NYL51"
484;"NYLHY (HO3vv-F) 5x2,5 qmm";"Meter";"NYL52"
485;"PVC-Panzerrohr M20";"Meter";"R20"
486;"PVC-Panzerrohr M40";"Meter";"R40"
487;"Alu-Panzerrohr PG 21";"Stück";"RAL21"
488;"Alu-Kabelkanal 50x40 mm 3 Meter";"Stück";"RAS"
489;"Fußbodentrittkanal";"Meter";"RF1"
490;"PVC-Flexrohr M25";"Meter";"RF25"
491;"PVC-Flexrohr M40";"Meter";"RF40"
495;"Geräteeinbaudosen-Schuko";"Stück";"RK23"
497;"Kabelkanal 90x60mm";"Meter";"RK6"
498;"Stahlpanzerrohr PG 21";"Meter";"RS21"
499;"Einbauschaltuhr Uni 45";"Stück";"S10"
50;"Notdienstpauschale Reaktionszeit innerhalb von 2h";"x";50
500;"Stundenlohn Elektroinstallateur Arbeiten ab 20 Uhr";"Stunden";500
501;"Raumthermostat 1-polig";"Stück";"S13"
502;"Digital-Schaltuhr-Woche, 1-Kanal";"Stück";"S14"
503;"Digital-Schaltuhr";"Stück";"SC15"
504;"Funkschaltuhr 4-Kanal";"Stück";"SC16"
505;"Türkontakt-Endschalter, 1-polig";"Stück";"SC17"
506;"Einbauschütz 40A, 4-polig";"Stück";"SC2"
507;"Fußschalter a.P. FR";"Stück";"SC20"
508;"Schaltereinbau-Glimmlampe";"Stück";"SC21"
509;"Zeitrelais elektr. 05s...10h";"Stück";"SC23"
510;"Not-Aus-Taster";"Stück";"SC24"
511;"Einbauschütz 63A, 4-polig";"Stück";"SC3"
512;"FI-Schutzschalter 40A/30mA, 4-polig. ";"Stück";"SC4"
513;"Treppenlichtautomat Einbau";"Stück";"SC7"
514;"Stromstoßschalter 8 - 220V, 1-polig";"Stück";"SC8"
515;"Stromstoßschalter 8 - 220V, 2-polig";"Stück";"SC9"
516;"Ausschalter a.P.";"Stück";"SA1"
517;"Schukosteckdose a.P. ";"Stück";"SA10"
518;"Wechselschalter a.P.";"Stück";"SA2"
519;"Taster a.P.";"Stück";"SA3"
520;"Serienschalter a.P.";"Stück";"SA4"
521;"Kreuzschalter a.P.";"Stück";"SA5"
524;"Ausschalter mit Glimmlampe a.P.";"Stück";"SA8"
526;"Dimmer 400W, u.P.";"Stück";"SD1"
527;"Dimmer 600W, u.P. ";"Stück";"SD2"
528;"Ausschalter a.P. FR";"Stück";"SFA1"
529;"Taster a.P. FR mit Symbol";"Stück";"SFA3"
530;"Serienschalter a.P. FR";"Stück";"SFA4"
531;"Kreuzschalter a.P. FR";"Stück";"SFA5"
532;"Ausschalter a.P. FR mit Lampe ";"Stück";"SFA8"
533;"Heizungsnotschalter, 3-polig FR";"Stück";"SFA9"
534;"Ausschalter u.P. FR";"Stück";"SFU1"
535;"Wechselschalter u.P. FR";"Stück";"SFU2"
536;"Taster u.P. FR";"Stück";"SFU3"
538;"Skylift-Einsatz";"Stück";"SKY"
539;"Ausschalter u.P. ";"Stück";"SU1"
540;"Kombi-Schukosteckdose u.P. ";"Stück";"SU13"
541;"Abdeckung  mit Klappdeckel ";"Stück";"SU14"
542;"Kombinationsrahmen 2-fach";"Stück";"SU16"
543;"Kombinationsrahmen 3-fach";"Stück";"SU17"
544;"Kombinationsrahmen 4-fach";"Stück";"SU18"
545;"Taster u.P.";"Stück";"SU3"
546;"Serienschalter u.P.";"Stück";"SU4"
547;"Kreuzschalter u.P.";"Stück";"SU5"
